subject,topic,year,exam,exercise,exercise_type
química,Conf. Electrónica,2007,Reserva 1,Ejercicio 2 Opcion A,Combinaciones de números cuánticos
química,Conf. Electrónica,2007,Reserva 2,Ejercicio 2 Opción B,Verdadero o Falso
química,Conf. Electrónica,2007,Reserva 3,Ejercicio 2 Opcion A,Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2007,Reserva 4,Ejercicio 2 Opcion A,Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2007,Septiembre,Ejercicio 3 Opción B,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2008,Junio,Ejercicio 2 Opción A,Combinaciones de números cuánticos
química,Conf. Electrónica,2008,Reserva 1,Ejercicio 2 Opcion B,Combinaciones de números cuánticos
química,Conf. Electrónica,2008,Reserva 2,Ejercicio 2 Opción A,Verdadero o Falso | Propiedades periódicas
química,Conf. Electrónica,2008,Reserva 3,Ejercicio 3 Opción B,Situar elementos en tabla periódica (grupo y período) | Combinaciones de números cuánticos
química,Conf. Electrónica,2008,Reserva 4,Ejercicio 2 Opcion A,Verdadero o Falso | Combinaciones de números cuánticos
química,Conf. Electrónica,2008,Septiembre,Ejercicio 2 Opción A,Propiedades periódicas | Ion más estable
química,Conf. Electrónica,2009,Junio,Ejercicio 2 Opción A,Comparación energías de ionización
química,Conf. Electrónica,2009,Reserva 1,Ejercicio 2 Opción A,Situar elementos en tabla periódica (grupo y período) | Ion más estable
química,Conf. Electrónica,2009,Reserva 2,Ejercicio 3 Opción B,Combinaciones de números cuánticos
química,Conf. Electrónica,2009,Reserva 3,Ejercicio 2 Opción B,Verdadero o Falso
química,Conf. Electrónica,2009,Reserva 4,Ejercicio 2 Opcion A,Combinaciones de números cuánticos
química,Conf. Electrónica,2009,Septiembre,Ejercicio 2 Opción A,Combinaciones de números cuánticos
química,Conf. Electrónica,2010,Junio,Ejercicio 3 Opción B,Comparación energías de ionización
química,Conf. Electrónica,2010,Reserva 1,Ejercicio 2 Opción B,Ion más estable
química,Conf. Electrónica,2010,Reserva 2,Ejercicio 2 Opción A,Propiedades periódicas
química,Conf. Electrónica,2010,Reserva 3,Ejercicio 2 Opción A,Combinaciones de números cuánticos
química,Conf. Electrónica,2010,Reserva 4,Ejercicio 2 Opcióon A,Combinaciones de números cuánticos
química,Conf. Electrónica,2010,Septiembre,Ejercicio 2 Opción A,Comparación energías de ionización
química,Conf. Electrónica,2011,Junio,Ejercicio 2 Opción A,Comparación energías de ionización
química,Conf. Electrónica,2011,Reserva 1,Ejercicio 2 Opcion A,Propiedades periódicas
química,Conf. Electrónica,2011,Reserva 2,Ejercicio 3 Opción B,Combinaciones de números cuánticos
química,Conf. Electrónica,2011,Reserva 3,Ejercicio 2 Opción B,Verdadero o Falso | Ion más estable
química,Conf. Electrónica,2011,Reserva 4,Ejercicio 2 Opcion A,Propiedades periódicas | Comparación energías de ionización
química,Conf. Electrónica,2011,Septiembre,Ejercicio 2 Opcióon A,Ion más estable
química,Conf. Electrónica,2012,Junio,Ejercicio 3 Opción B,Verdadero o Falso | Combinaciones de números cuánticos
química,Conf. Electrónica,2012,Reserva 1,Ejercicio 2 Opción B,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2012,Reserva 2,Ejercicio 2 Opción A,Propiedades periódicas
química,Conf. Electrónica,2012,Reserva 3,Ejercicio 2 Opcion A,Combinaciones de números cuánticos
química,Conf. Electrónica,2012,Reserva 4,Ejercicio 2 Opcióon A,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2012,Septiembre,Ejercicio 2 Opción A,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2013,Junio,Ejercicio 2 Opcion A,Propiedades periódicas
química,Conf. Electrónica,2013,Reserva 1,Ejercicio 3 Opción B,Ion más estable | Propiedades periódicas
química,Conf. Electrónica,2013,Reserva 2,Ejercicio 2 Opcion A,Propiedades periódicas | Ion más estable
química,Conf. Electrónica,2013,Reserva 3,Ejercicio 2 Opcion A,Propiedades periódicas | Comparación energías de ionización
química,Conf. Electrónica,2013,Reserva 4,Ejercicio 2 Opcion A,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas | Combinaciones de números cuánticos
química,Conf. Electrónica,2013,Septiembre,Ejercicio 2 Opción B,Situar elementos en tabla periódica (grupo y período) | Ion más estable
química,Conf. Electrónica,2014,Junio,Ejercicio 2 Opcion A,Situar elementos en tabla periódica (grupo y período) | Combinaciones de números cuánticos | Verdadero o Falso
química,Conf. Electrónica,2014,Reserva 1,Ejercicio 2 Opcióon A,Verdadero o Falso | Comparación energías de ionización | Propiedades periódicas
química,Conf. Electrónica,2014,Reserva 2,Ejercicio 3 Opción B,Combinaciones de números cuánticos
química,Conf. Electrónica,2014,Reserva 3,Ejercicio 2 Opción B,Ion más estable | Propiedades periódicas
química,Conf. Electrónica,2014,Reserva 4,Ejercicio 2 Opción A,Verdadero o Falso
química,Conf. Electrónica,2014,Septiembre,Ejercicio 2 Opción A,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2015,Junio,Ejercicio 3 Opción B,Combinaciones de números cuánticos
química,Conf. Electrónica,2015,Reserva 1,Ejercicio 2 Opción B,Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2015,Reserva 2,Ejercicio 2 Opción A,Verdadero o Falso | Propiedades periódicas
química,Conf. Electrónica,2015,Reserva 3,Ejercicio 2 Opción A,Propiedades periódicas | Comparación energías de ionización
química,Conf. Electrónica,2015,Reserva 4,Ejercicio 2 Opcion A,Situar elementos en tabla periódica (grupo y período) | Ion más estable
química,Conf. Electrónica,2015,Septiembre,Ejercicio 2 Opción A,Combinaciones de números cuánticos
química,Conf. Electrónica,2016,Junio,Ejercicio 2 Opción B,Combinaciones de números cuánticos
química,Conf. Electrónica,2016,Reserva 1,Ejercicio 2 Opcion A,Verdadero o Falso
química,Conf. Electrónica,2016,Reserva 2,Ejercicio 3 Opción B,Combinaciones de números cuánticos
química,Conf. Electrónica,2016,Reserva 3,Ejercicio 2 Opcion A,Propiedades periódicas | Comparación energías de ionización
química,Conf. Electrónica,2016,Septiembre,Ejercicio 2 Opcion A,Ion más estable | Radio / energía ionización Na+ y Ne
química,Conf. Electrónica,2017,Junio,Ejercicio 2 Opción A,Comparación energías de ionización | Propiedades periódicas
química,Conf. Electrónica,2017,Junio,Ejercicio 2 Opción B,Combinaciones de números cuánticos | Ion más estable
química,Conf. Electrónica,2017,Reserva 1,Ejercicio 2 Opción A,Combinaciones de números cuánticos
química,Conf. Electrónica,2017,Reserva 2,Ejercicio 2 Opción A,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas | Ion más estable
química,Conf. Electrónica,2017,Reserva 3,Ejercicio 2 Opción B,Situar elementos en tabla periódica (grupo y período) | Combinaciones de números cuánticos
química,Conf. Electrónica,2017,Reserva 4,Ejercicio 2 Opcion A,Verdadero o Falso | Propiedades periódicas
química,Conf. Electrónica,2017,Reserva 4,Ejercicio 2 Opción B,Verdadero o Falso
química,Conf. Electrónica,2017,Septiembre,Ejercicio 2 Opcion A,Propiedades periódicas
química,Conf. Electrónica,2017,Septiembre,Ejercicio 2 Opción B,Verdadero o Falso
química,Conf. Electrónica,2018,Junio,Ejercicio 2 Opción A,Propiedades periódicas | Radio / energía ionización Na+ y Ne
química,Conf. Electrónica,2018,Junio,Ejercicio 2 Opción B,Verdadero o Falso | Radio / energía ionización Na+ y Ne
química,Conf. Electrónica,2018,Reserva 1,Ejercicio 2 Opcion A,Combinaciones de números cuánticos
química,Conf. Electrónica,2018,Reserva 2,Ejercicio 2 Opción A,Verdadero o Falso | Propiedades periódicas
química,Conf. Electrónica,2018,Reserva 2,Ejercicio 2 Opción B,Verdadero o Falso | Ion más estable | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2018,Reserva 3,Ejercicio 2 Opción A,Verdadero o Falso | Combinaciones de números cuánticos
química,Conf. Electrónica,2018,Reserva 4,Ejercicio 2 Opción B,Combinaciones de números cuánticos
química,Conf. Electrónica,2018,Septiembre,Ejercicio 2 Opción A,Propiedades periódicas
química,Conf. Electrónica,2018,Septiembre,Ejercicio 2 Opción B,Situar elementos en tabla periódica (grupo y período) | Combinaciones de números cuánticos
química,Conf. Electrónica,2019,Junio,Ejercicio 2 Opción A,Combinaciones de números cuánticos
química,Conf. Electrónica,2019,Reserva 1,Ejercicio 2 Opcion A,Propiedades periódicas
química,Conf. Electrónica,2019,Reserva 1,Ejercicio 2 Opción B,Combinaciones de números cuánticos | Ion más estable
química,Conf. Electrónica,2019,Reserva 2,Ejercicio 2 Opcion A,Verdadero o Falso | Propiedades periódicas
química,Conf. Electrónica,2019,Reserva 2,Ejercicio 2 Opción B,Verdadero o Falso
química,Conf. Electrónica,2019,Reserva 3,Ejercicio 2 Opción B,Combinaciones de números cuánticos
química,Conf. Electrónica,2019,Reserva 4,Ejercicio 2 Opción A,Propiedades periódicas | Ion más estable
química,Conf. Electrónica,2019,Reserva 4,Ejercicio 2 Opción B,Situar elementos en tabla periódica (grupo y período) | Combinaciones de números cuánticos | Ion más estable
química,Conf. Electrónica,2019,Septiembre,Ejercicio 2 Opcion A,Verdadero o Falso | Ion más estable
química,Conf. Electrónica,2020,Junio,B1,Combinaciones de números cuánticos | Ion más estable
química,Conf. Electrónica,2020,Junio,B4,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2020,Reserva 1,Ejercicio B1,Propiedades periódicas
química,Conf. Electrónica,2020,Reserva 1,Ejercicio B2,Verdadero o Falso
química,Conf. Electrónica,2020,Reserva 2,Ejercicio B1,Combinaciones de números cuánticos | Propiedades periódicas
química,Conf. Electrónica,2020,Reserva 2,Ejercicio B2,Verdadero o Falso | Propiedades periódicas
química,Conf. Electrónica,2020,Reserva 3,Ejercicio B1,Ion más estable | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2020,Reserva 3,Ejercicio B4,Propiedades periódicas | Ion más estable
química,Conf. Electrónica,2020,Reserva 4,Ejercicio B1,Propiedades periódica | Ion más estable
química,Conf. Electrónica,2020,Septiembre,B1,Ion más estable
química,Conf. Electrónica,2020,Septiembre,B2,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2021,Julio,Ejercicio B1,Verdadero o Falso | Ion más estable
química,Conf. Electrónica,2021,Julio,Ejercicio B4,Verdadero o Falso | Propiedades periódicas
química,Conf. Electrónica,2021,Junio,Ejercicio B1,Combinaciones de números cuánticos
química,Conf. Electrónica,2021,Junio,Ejercicio B4,Verdadero o Falso | Propiedades periódicas
química,Conf. Electrónica,2021,Reserva 1,Ejercicio B1,Verdadero o Falso | Radio / energía ionización Na+ y Ne
química,Conf. Electrónica,2021,Reserva 1,Ejercicio B2,Propiedades periódicas
química,Conf. Electrónica,2021,Reserva 2,Ejercicio B1,Verdadero o Falso | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2021,Reserva 2,Ejercicio B2,Ion más estable | Propiedades periódicas
química,Conf. Electrónica,2021,Reserva 3,Ejercicio B1,Combinaciones de números cuánticos | Ion más estable
química,Conf. Electrónica,2021,Reserva 3,Ejercicio B2,Verdadero o Falso | Propiedades periódicas
química,Conf. Electrónica,2021,Reserva 4,Ejercicio B1,Verdadero o Falso
química,Conf. Electrónica,2022,Julio,Ejercicio B1,Combinaciones de números cuánticos | Ion más estable
química,Conf. Electrónica,2022,Julio,Ejercicio B2,Verdadero o Falso
química,Conf. Electrónica,2022,Junio,Ejercicio B1,Combinaciones de números cuánticos | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2022,Reserva 1,Ejercicio B1,Ion más estable | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2022,Reserva 1,Ejercicio B2,Propiedades periódicas
química,Conf. Electrónica,2022,Reserva 2,Ejercicio B1,Verdadero o Falso
química,Conf. Electrónica,2022,Reserva 2,Ejercicio B4,Comparación energías de ionización | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2022,Reserva 3,Ejercicio B1,Combinaciones de números cuánticos
química,Conf. Electrónica,2022,Reserva 3,Ejercicio B4,Propiedades periódicas | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2022,Reserva 4,Ejercicio B1,Verdadero o Falso
química,Conf. Electrónica,2022,Reserva 4,Ejercicio B2,Propiedades periódicas
química,Conf. Electrónica,2023,Julio,Ejercicio B1,Ion más estable | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2023,Julio,Ejercicio B4,Propiedades periódicas
química,Conf. Electrónica,2023,Junio,Ejercicio B1,Combinaciones de números cuánticos | Ion más estable
química,Conf. Electrónica,2023,Junio,Ejercicio B2,Verdadero o Falso
química,Conf. Electrónica,2024,Julio,Ejercicio B1,Combinaciones de números cuánticos | Propiedades periódicas
química,Conf. Electrónica,2024,Julio,Ejercicio B4,Propiedades periódicas
química,Conf. Electrónica,2024,Junio,Ejercicio B1,Verdadero o Falso
química,Conf. Electrónica,2024,Junio,Ejercicio B4,Propiedades periódicas | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2024,Reserva 1,Ejercicio B1,Combinaciones de números cuánticos | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2024,Reserva 2,Ejercicio B2,Propiedades periódicas
química,Conf. Electrónica,2024,Reserva 3,Ejercicio B1,Combinaciones de números cuánticos | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2024,Reserva 3,Ejercicio B2,Verdadero o Falso
química,Conf. Electrónica,2024,Reserva 4,Ejercicio B1,Combinaciones de números cuánticos
química,Conf. Electrónica,2024,Reserva 4,Ejercicio B2,Verdadero o Falso
química,Conf. Electrónica,2025,Julio,Ejercicio 1A,Verdadero o Falso
química,Conf. Electrónica,2025,Julio,Ejercicio 1B,Propiedades periódicas | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2025,Junio,Ejercicio 1A,Propiedades periódicas
química,Conf. Electrónica,2025,Reserva 1,Ejercicio 1A,Propiedades periódicas | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2025,Reserva 2,Ejercicio 1A,Combinaciones de números cuánticos
