asignatura|tema|año|convocatoria|ejercicio|tipo_ejercicio
química|Redox|2014|Reserva 1|Opción B, Ejercicio 3|Espontaneidad de reacciones redox (¿se forma H₂?)
química|Redox|2014|Reserva 2|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría (gases)
química|Redox|2014|Reserva 3|Opción A, Ejercicio 3|Espontaneidad de reacciones redox (cálculo de fem)
química|Redox|2014|Reserva 3|Opción B, Ejercicio 6|Electrolisis (ley de Faraday)
química|Redox|2014|Reserva 4|Opción A, Ejercicio 3|Pilas galvánicas: espontaneidad + cálculo de fem
química|Redox|2014|Reserva 4|Opción B, Ejercicio 6|Ajuste ión-electrón (medio básico) + estequiometría
química|Redox|2014|Septiembre|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría (pureza)
química|Redox|2013|Junio|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría (pureza)
química|Redox|2013|Reserva 1|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría (gases)
química|Redox|2013|Reserva 2|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + cálculo de magnitudes atómicas
química|Redox|2013|Reserva 3|Opción B, Ejercicio 3|Espontaneidad de reacciones redox (cálculo de fem)
química|Redox|2013|Reserva 4|Opción A, Ejercicio 3|Pilas galvánicas: espontaneidad + cálculo de fem
química|Redox|2013|Reserva 4|Opción B, Ejercicio 6|Ajuste ión-electrón (medio básico) + estequiometría
química|Redox|2013|Septiembre|Opción A, Ejercicio 3|Ajuste ión-electrón (medio ácido) + identificación oxidante/reductor
química|Redox|2013|Septiembre|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + cálculo de magnitudes atómicas
química|Redox|2012|Junio|Opción A, Ejercicio 5|Ajuste ión-electrón (medio básico) + estequiometría (pureza)
química|Redox|2012|Reserva 1|Opción A, Ejercicio 3|Ajuste ión-electrón (medio ácido): varias reacciones
química|Redox|2012|Reserva 1|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + cálculo de estado de oxidación
química|Redox|2012|Reserva 2|Opción B, Ejercicio 3|Pilas galvánicas: notación de pila + cálculo de fem
química|Redox|2012|Reserva 3|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + cálculo de concentración
química|Redox|2012|Reserva 4|Opción A, Ejercicio 3|Espontaneidad de reacciones redox (cálculo de fem)
química|Redox|2012|Reserva 4|Opción B, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría (pureza)
química|Redox|2012|Septiembre|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría
química|Redox|2011|Junio|Opción B, Ejercicio 3|Espontaneidad de reacciones redox (¿se forma H₂?) + pilas galvánicas
química|Redox|2011|Reserva 1|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría (gases + rendimiento)
química|Redox|2011|Reserva 2|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría (pureza)
química|Redox|2011|Reserva 3|Opción A, Ejercicio 3|Pilas galvánicas: notación de pila + cálculo de fem
química|Redox|2011|Reserva 3|Opción B, Ejercicio 6|Electrolisis (ley de Faraday)
química|Redox|2011|Reserva 4|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + cálculo de concentración
química|Redox|2011|Septiembre|Opción A, Ejercicio 3|Espontaneidad de reacciones redox (cálculo de fem)
química|Redox|2011|Septiembre|Opción B, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría (concentración)
química|Redox|2010|Junio|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría (gases)
química|Redox|2010|Reserva 1|Opción A, Ejercicio 3|Pilas galvánicas: espontaneidad + cálculo de fem
química|Redox|2010|Reserva 1|Opción B, Ejercicio 6|Electrolisis (ley de Faraday): cubas en serie
química|Redox|2010|Reserva 2|Opción A, Ejercicio 5|Ajuste ión-electrón (medio básico) + estequiometría
química|Redox|2010|Reserva 3|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + cálculo de concentración
química|Redox|2010|Reserva 4|Opción A, Ejercicio 3|Espontaneidad de reacciones redox (¿se forma H₂?)
química|Redox|2010|Reserva 4|Opción B, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría (concentración)
química|Redox|2010|Septiembre|Opción B, Ejercicio 3|Identificación de reacciones redox + ajuste por ión-electrón
