asignatura|tema|año|convocatoria|ejercicio|tipo_ejercicio
química|ácido base|2002|Junio|Opción B, Ejercicio 4|Hidrólisis de sales: estimación cualitativa del pH
química|termoquímica|2002|Junio|Opción B, Ejercicio 5|
química|equilibrio químico|2002|Junio|Opción B, Ejercicio 6|Uso de alfa para calcular constantes + Cálculo de Kp
química|formulación|2002|Reserva 1|Opción A, Ejercicio 1|
química|átomo|2002|Reserva 1|Opción A, Ejercicio 2|
química|equilibrio químico|2002|Reserva 1|Opción A, Ejercicio 3|Principio de Le Chatelier (concentración / temperatura / volumen)
química|reactividad orgánica|2002|Reserva 1|Opción A, Ejercicio 4|
química|enlace químico|2002|Reserva 1|Opción A, Ejercicio 5|
química|ácido base|2002|Reserva 1|Opción A, Ejercicio 6|Equilibrio ácido débil: grado de disociación y pH
química|formulación|2002|Reserva 1|Opción B, Ejercicio 1|
química|cantidad química|2002|Reserva 1|Opción B, Ejercicio 2|
química|enlace químico|2002|Reserva 1|Opción B, Ejercicio 3|
química|ácido base|2002|Reserva 1|Opción B, Ejercicio 4|Neutralización ácido-base fuerte: volumen y procedimiento de valoración
química|equilibrio químico|2002|Reserva 1|Opción B, Ejercicio 5|Cálculo de Kc y Kp + Cálculo de moles en el equilibrio (ecuación de 2º grado)
química|redox|2002|Reserva 1|Opción B, Ejercicio 6|
química|formulación|2002|Reserva 2|Opción A, Ejercicio 1|
química|equilibrio químico|2002|Reserva 2|Opción A, Ejercicio 3|Conceptos teóricos (V/F sobre equilibrio heterogéneo / Kp y Kc)
química|termoquímica|2002|Reserva 2|Opción A, Ejercicio 4|
química|redox|2002|Reserva 2|Opción A, Ejercicio 5|
química|cantidad química|2002|Reserva 2|Opción A, Ejercicio 6|
química|formulación|2002|Reserva 2|Opción B, Ejercicio 1|
química|cantidad química|2002|Reserva 2|Opción B, Ejercicio 2|
química|átomo|2002|Reserva 2|Opción B, Ejercicio 3|
química|ácido base|2002|Reserva 2|Opción B, Ejercicio 4|pH de base fuerte: cálculo de concentraciones y pH
química|equilibrio químico|2002|Reserva 2|Opción B, Ejercicio 5|Cálculo de Kp a partir de tabla de equilibrio + Relación Kc-Kp
química|termoquímica|2002|Reserva 2|Opción B, Ejercicio 6|
química|formulación|2002|Reserva 3|Opción A, Ejercicio 1|
química|átomo|2002|Reserva 3|Opción A, Ejercicio 2|
química|ácido base|2002|Reserva 3|Opción A, Ejercicio 3|Clasificación de especies según Brønsted-Lowry: ácido / base / anfótero
química|cantidad química|2002|Reserva 3|Opción A, Ejercicio 4|
química|redox|2002|Reserva 3|Opción A, Ejercicio 5|
química|termoquímica|2002|Reserva 3|Opción A, Ejercicio 6|
química|formulación|2002|Reserva 3|Opción B, Ejercicio 1|
química|enlace químico|2002|Reserva 3|Opción B, Ejercicio 2|
química|cinética|2002|Reserva 3|Opción B, Ejercicio 3|Diagrama entálpico / energía de activación (lectura de gráfica)
química|reactividad orgánica|2002|Reserva 3|Opción B, Ejercicio 4|
química|ácido base|2002|Reserva 3|Opción B, Ejercicio 5|pH de ácido y base fuertes + neutralización con exceso
química|equilibrio químico|2002|Reserva 3|Opción B, Ejercicio 6|Equilibrio heterogéneo + Cálculo de Kc y Kp + Cálculo de cantidad de sólido reaccionado
química|formulación|2002|Reserva 4|Opción A, Ejercicio 1|
química|átomo|2002|Reserva 4|Opción A, Ejercicio 2|
química|redox|2002|Reserva 4|Opción A, Ejercicio 3|
química|reactividad orgánica|2002|Reserva 4|Opción A, Ejercicio 4|
química|cantidad química|2002|Reserva 4|Opción A, Ejercicio 5|
química|equilibrio químico|2002|Reserva 4|Opción A, Ejercicio 6|Uso de alfa para calcular constantes + Cálculo de presiones parciales (sistema de ecuaciones)
química|formulación|2002|Reserva 4|Opción B, Ejercicio 1|
química|cantidad química|2002|Reserva 4|Opción B, Ejercicio 2|
química|enlace químico|2002|Reserva 4|Opción B, Ejercicio 3|
química|ácido base|2002|Reserva 4|Opción B, Ejercicio 4|Verdadero o falso: ácidos débiles y relación Ka / grado de disociación / pH
química|termoquímica|2002|Reserva 4|Opción B, Ejercicio 5|
química|redox|2002|Reserva 4|Opción B, Ejercicio 6|
química|formulación|2002|Septiembre|Opción A, Ejercicio 1|
química|enlace químico|2002|Septiembre|Opción A, Ejercicio 2|
química|redox|2002|Septiembre|Opción A, Ejercicio 3|
química|ácido base|2002|Septiembre|Opción A, Ejercicio 4|Identificación ácido fuerte vs débil por pH + hidrólisis de sal (NH₄Cl)
química|cantidad química|2002|Septiembre|Opción A, Ejercicio 5|
química|equilibrio químico|2002|Septiembre|Opción A, Ejercicio 6|Equilibrio heterogéneo + Uso de alfa para calcular constantes + Cálculo de presiones parciales
química|formulación|2002|Septiembre|Opción B, Ejercicio 1|
química|átomo|2002|Septiembre|Opción B, Ejercicio 2|
química|termoquímica|2002|Septiembre|Opción B, Ejercicio 3|
química|reactividad orgánica|2002|Septiembre|Opción B, Ejercicio 4|
química|cantidad química|2002|Septiembre|Opción B, Ejercicio 5|
química|redox|2002|Septiembre|Opción B, Ejercicio 6|
química|ácido base|2003|Junio|Ejercicio B4|Cuestiones teóricas (ácido/base fuerte vs débil; efecto de la dilución sobre el pH)
química|formulación|2003|Junio|Opción A, Ejercicio 1|
química|átomo|2003|Junio|Opción A, Ejercicio 2|
química|redox|2003|Junio|Opción A, Ejercicio 3|
química|reactividad orgánica|2003|Junio|Opción A, Ejercicio 4|
química|cantidad química|2003|Junio|Opción A, Ejercicio 5|
química|equilibrio químico|2003|Junio|Opción A, Ejercicio 6|Uso de alfa para calcular constantes + Cálculo de presiones parciales
química|formulación|2003|Junio|Opción B, Ejercicio 1|
química|cantidad química|2003|Junio|Opción B, Ejercicio 2|
química|enlace químico|2003|Junio|Opción B, Ejercicio 3|
química|ácido base|2003|Junio|Opción B, Ejercicio 4|
química|termoquímica|2003|Junio|Opción B, Ejercicio 5|
química|redox|2003|Junio|Opción B, Ejercicio 6|
química|ácido base|2003|Reserva 1|Ejercicio A6|Equilibrio de ácido débil (grado de disociación y pH a partir de Ka)
química|ácido base|2003|Reserva 1|Ejercicio B4|Clasificación de disoluciones por acidez/basicidad a partir de pH y concentración
química|formulación|2003|Reserva 1|Opción A, Ejercicio 1|
química|átomo|2003|Reserva 1|Opción A, Ejercicio 2|
química|equilibrio químico|2003|Reserva 1|Opción A, Ejercicio 3|Conceptos teóricos (catalizador / Qc / equilibrio homogéneo y heterogéneo)
química|reactividad orgánica|2003|Reserva 1|Opción A, Ejercicio 4|
química|termoquímica|2003|Reserva 1|Opción A, Ejercicio 5|
química|ácido base|2003|Reserva 1|Opción A, Ejercicio 6|
química|formulación|2003|Reserva 1|Opción B, Ejercicio 1|
química|cantidad química|2003|Reserva 1|Opción B, Ejercicio 2|
química|enlace químico|2003|Reserva 1|Opción B, Ejercicio 3|
química|ácido base|2003|Reserva 1|Opción B, Ejercicio 4|
química|equilibrio químico|2003|Reserva 1|Opción B, Ejercicio 5|Equilibrio heterogéneo + Cálculo de presiones parciales + Cálculo de Kp
química|redox|2003|Reserva 1|Opción B, Ejercicio 6|
química|ácido base|2003|Reserva 2|Ejercicio A4|Pares ácido-base conjugados y anfóteros según Brønsted-Lowry (NH4⁺; CH3COOH; HCO3⁻; OH⁻)
química|formulación|2003|Reserva 2|Opción A, Ejercicio 1|
química|enlace químico|2003|Reserva 2|Opción A, Ejercicio 2|
química|redox|2003|Reserva 2|Opción A, Ejercicio 3|
química|ácido base|2003|Reserva 2|Opción A, Ejercicio 4|
química|cantidad química|2003|Reserva 2|Opción A, Ejercicio 5|
química|equilibrio químico|2003|Reserva 2|Opción A, Ejercicio 6|Cálculo de Kc + Cálculo de presión total
química|formulación|2003|Reserva 2|Opción B, Ejercicio 1|
química|átomo|2003|Reserva 2|Opción B, Ejercicio 2|
química|termoquímica|2003|Reserva 2|Opción B, Ejercicio 3|
química|reactividad orgánica|2003|Reserva 2|Opción B, Ejercicio 4|
química|cantidad química|2003|Reserva 2|Opción B, Ejercicio 5|
química|redox|2003|Reserva 2|Opción B, Ejercicio 6|
química|ácido base|2003|Reserva 3|Ejercicio A3|Verdadero o falso (HSO4⁻ como ácido Arrhenius; CO3²⁻ como base Brønsted-Lowry)
química|ácido base|2003|Reserva 3|Ejercicio B5|Dilución de base fuerte (volumen de agua) y cálculo de pH
química|formulación|2003|Reserva 3|Opción A, Ejercicio 1|
química|átomo|2003|Reserva 3|Opción A, Ejercicio 2|
química|ácido base|2003|Reserva 3|Opción A, Ejercicio 3|
química|cantidad química|2003|Reserva 3|Opción A, Ejercicio 4|
química|redox|2003|Reserva 3|Opción A, Ejercicio 5|
química|termoquímica|2003|Reserva 3|Opción A, Ejercicio 6|
química|formulación|2003|Reserva 3|Opción B, Ejercicio 1|
química|enlace químico|2003|Reserva 3|Opción B, Ejercicio 2|
química|cinética|2003|Reserva 3|Opción B, Ejercicio 3|Diagrama entálpico / energía de activación / catalizador
química|reactividad orgánica|2003|Reserva 3|Opción B, Ejercicio 4|
química|ácido base|2003|Reserva 3|Opción B, Ejercicio 5|
química|equilibrio químico|2003|Reserva 3|Opción B, Ejercicio 6|Uso de alfa para calcular constantes + Cálculo de Kp
química|ácido base|2003|Reserva 4|Ejercicio A6|Equilibrio de ácido débil (Ka y pH a partir del grado de disociación)
química|ácido base|2003|Reserva 4|Ejercicio B4|Clasificación de especies según Brønsted-Lowry (ácido; base; anfótero)
química|formulación|2003|Reserva 4|Opción A, Ejercicio 1|
química|enlace químico|2003|Reserva 4|Opción A, Ejercicio 2|
química|equilibrio químico|2003|Reserva 4|Opción A, Ejercicio 3|Principio de Le Chatelier + Expresión de Kp
química|termoquímica|2003|Reserva 4|Opción A, Ejercicio 4|
química|redox|2003|Reserva 4|Opción A, Ejercicio 5|
química|ácido base|2003|Reserva 4|Opción A, Ejercicio 6|
química|formulación|2003|Reserva 4|Opción B, Ejercicio 1|
química|cantidad química|2003|Reserva 4|Opción B, Ejercicio 2|
química|átomo|2003|Reserva 4|Opción B, Ejercicio 3|
química|ácido base|2003|Reserva 4|Opción B, Ejercicio 4|
química|equilibrio químico|2003|Reserva 4|Opción B, Ejercicio 5|Uso de alfa para calcular constantes + Cálculo de Kc
química|termoquímica|2003|Reserva 4|Opción B, Ejercicio 6|
química|ácido base|2003|Septiembre|Ejercicio A5|Concentración de iones en mezcla de ácido fuerte y sal neutra; pH
química|ácido base|2003|Septiembre|Ejercicio B4|Bases conjugadas de ácidos débiles y relación Ka-Kb entre pares conjugados
química|formulación|2003|Septiembre|Opción A, Ejercicio 1|
química|átomo|2003|Septiembre|Opción A, Ejercicio 2|
química|equilibrio químico|2003|Septiembre|Opción A, Ejercicio 3|Principio de Le Chatelier (concentración / presión / volumen)
química|reactividad orgánica|2003|Septiembre|Opción A, Ejercicio 4|
química|ácido base|2003|Septiembre|Opción A, Ejercicio 5|
química|cantidad química|2003|Septiembre|Opción A, Ejercicio 6|
química|formulación|2003|Septiembre|Opción B, Ejercicio 1|
química|cantidad química|2003|Septiembre|Opción B, Ejercicio 2|
química|redox|2003|Septiembre|Opción B, Ejercicio 3|
química|ácido base|2003|Septiembre|Opción B, Ejercicio 4|
química|termoquímica|2003|Septiembre|Opción B, Ejercicio 5|
química|equilibrio químico|2003|Septiembre|Opción B, Ejercicio 6|Equilibrio heterogéneo con cálculo de cantidad de sólido reaccionado + Cálculo de Kp
química|ácido base|2004|Junio|Ejercicio A3|Clasificación de especies según Brønsted-Lowry (ácido; base; anfótero)
química|ácido base|2004|Junio|Ejercicio B5|pH de base fuerte dibásica (Ba(OH)2) y concentración de iones
química|formulación|2004|Junio|Opción A, Ejercicio 1|
química|átomo|2004|Junio|Opción A, Ejercicio 2|
química|ácido base|2004|Junio|Opción A, Ejercicio 3|
química|cantidad química|2004|Junio|Opción A, Ejercicio 4|
química|redox|2004|Junio|Opción A, Ejercicio 5|
química|termoquímica|2004|Junio|Opción A, Ejercicio 6|
química|formulación|2004|Junio|Opción B, Ejercicio 1|
química|enlace químico|2004|Junio|Opción B, Ejercicio 2|
química|cinética|2004|Junio|Opción B, Ejercicio 3|Orden de reacción y ecuación de velocidad
química|reactividad orgánica|2004|Junio|Opción B, Ejercicio 4|
química|ácido base|2004|Junio|Opción B, Ejercicio 5|
química|equilibrio químico|2004|Junio|Opción B, Ejercicio 6|Kc y Kp: cálculo numérico
química|ácido base|2004|Reserva 1|Ejercicio A6|Equilibrio de ácido débil (pH y Ka a partir del grado de disociación)
química|ácido base|2004|Reserva 1|Ejercicio B4|Tabla pH / [H3O⁺] / [OH⁻] (cálculos de pH y clasificación ácido/básico)
química|formulación|2004|Reserva 1|Opción A, Ejercicio 1|
química|átomo|2004|Reserva 1|Opción A, Ejercicio 2|
química|equilibrio químico|2004|Reserva 1|Opción A, Ejercicio 3|Le Chatelier - verdadero/falso conceptual
química|reactividad orgánica|2004|Reserva 1|Opción A, Ejercicio 4|
química|termoquímica|2004|Reserva 1|Opción A, Ejercicio 5|
química|ácido base|2004|Reserva 1|Opción A, Ejercicio 6|
química|formulación|2004|Reserva 1|Opción B, Ejercicio 1|
química|cantidad química|2004|Reserva 1|Opción B, Ejercicio 2|
química|enlace químico|2004|Reserva 1|Opción B, Ejercicio 3|
química|ácido base|2004|Reserva 1|Opción B, Ejercicio 4|
química|equilibrio químico|2004|Reserva 1|Opción B, Ejercicio 5|Kc y Kp: cálculo numérico
química|redox|2004|Reserva 1|Opción B, Ejercicio 6|
química|ácido base|2004|Reserva 2|Ejercicio B4|Preparación de disolución de base fuerte (procedimiento; [OH⁻]; pH)
química|formulación|2004|Reserva 2|Opción A, Ejercicio 1|
química|átomo|2004|Reserva 2|Opción A, Ejercicio 2|
química|termoquímica|2004|Reserva 2|Opción A, Ejercicio 3|
química|reactividad orgánica|2004|Reserva 2|Opción A, Ejercicio 4|
química|cantidad química|2004|Reserva 2|Opción A, Ejercicio 5|
química|redox|2004|Reserva 2|Opción A, Ejercicio 6|
química|formulación|2004|Reserva 2|Opción B, Ejercicio 1|
química|enlace químico|2004|Reserva 2|Opción B, Ejercicio 2|
química|redox|2004|Reserva 2|Opción B, Ejercicio 3|
química|ácido base|2004|Reserva 2|Opción B, Ejercicio 4|
química|cantidad química|2004|Reserva 2|Opción B, Ejercicio 5|
química|equilibrio químico|2004|Reserva 2|Opción B, Ejercicio 6|Equilibrio heterogéneo - cálculo cantidad de sólido
química|ácido base|2004|Reserva 3|Ejercicio A6|Preparación de disolución de base fuerte (gramos; pH; neutralización con HCl)
química|ácido base|2004|Reserva 3|Ejercicio B4|Pares ácido-base conjugados (completar equilibrios Brønsted-Lowry)
química|formulación|2004|Reserva 3|Opción A, Ejercicio 1|
química|átomo|2004|Reserva 3|Opción A, Ejercicio 2|
química|redox|2004|Reserva 3|Opción A, Ejercicio 3|
química|reactividad orgánica|2004|Reserva 3|Opción A, Ejercicio 4|
química|termoquímica|2004|Reserva 3|Opción A, Ejercicio 5|
química|ácido base|2004|Reserva 3|Opción A, Ejercicio 6|
química|formulación|2004|Reserva 3|Opción B, Ejercicio 1|
química|cantidad química|2004|Reserva 3|Opción B, Ejercicio 2|
química|enlace químico|2004|Reserva 3|Opción B, Ejercicio 3|
química|ácido base|2004|Reserva 3|Opción B, Ejercicio 4|
química|cantidad química|2004|Reserva 3|Opción B, Ejercicio 5|
química|redox|2004|Reserva 3|Opción B, Ejercicio 6|
